ticker,fiscal_period,qoq_rev,yoy_rev,qoq_eps,yoy_eps,momentum,net_margin,gross_margin,oper_margin,roe,de_ratio,current_ratio,cash_ratio,asset_turn,eps_status,eps_surprise
AAPL,Q1 2021,72.2449,21.3681,-28.5714,-66.5552,12.4617,25.8034,39.7778,30.0918,43.4208,4.3463,0.6649,0.1554,0.3148,1.0,69.8
AAPL,Q2 2021,-19.6116,53.6261,-5.0,-49.7354,53.1125,26.3775,42.5065,30.7008,34.1583,3.8738,0.5649,0.1789,0.2657,1.0,48.4737
AAPL,Q3 2021,-9.0976,36.4396,29.4737,-54.2751,25.5195,26.7014,43.2927,29.6264,33.827,4.1313,0.5359,0.1595,0.2469,1.0,4.9512
AAPL,Q4 2021,2.3651,28.8448,52.0325,33.5714,27.8173,24.6533,42.1953,28.5341,32.5741,4.5635,1.0746,0.2784,0.2375,0.0,-32.9572
AAPL,Q1 2022,48.6864,11.2223,-22.9947,44.0,-10.1458,27.9398,43.7638,33.4729,48.1427,4.2993,0.6025,0.146,0.3252,1.0,46.7153
AAPL,Q2 2022,-21.5152,8.5886,-18.75,23.1579,-45.0375,25.7098,43.7499,30.8179,37.1074,4.2028,0.512,0.1217,0.2774,1.0,30.4103
AAPL,Q3 2022,-14.7197,1.8727,8.547,3.252,-34.567,23.4357,43.2563,27.8162,33.459,4.7878,0.8646,0.2118,0.2467,0.0,-5.2835
AAPL,Q4 2022,8.6633,8.1406,66.9291,13.369,-20.7042,22.986,42.2592,27.6152,40.8924,5.9615,0.8794,0.1536,0.2555,0.0,-39.7264
AAPL,Q1 2023,29.9603,-5.479,-32.0755,0.0,-16.7013,25.6056,42.9623,30.7424,52.8813,5.1126,0.938,0.1496,0.3379,1.0,31.0764
AAPL,Q2 2023,-19.0501,-2.5103,-18.0556,0.8547,-11.0989,25.4756,44.2617,29.86,38.8687,4.3438,0.9404,0.2056,0.2855,1.0,29.6949
AAPL,Q3 2023,-13.749,-1.4007,16.9492,8.6614,-3.2734,24.3053,44.5163,28.1159,32.9844,4.5586,0.9816,0.2273,0.2441,0.0,-8.2246
AAPL,Q4 2023,9.4148,-0.7188,50.0,-2.3585,-8.8594,25.6497,45.1708,30.1336,36.9388,4.6735,1.0596,0.2212,0.2538,0.0,-28.9082
AAPL,Q1 2024,33.6063,2.0665,-25.1208,7.6389,7.5456,28.3638,45.875,33.7637,45.7706,3.7708,1.0725,0.3042,0.3382,1.0,41.0839
AAPL,Q2 2024,-24.1037,-4.3053,-14.8387,11.8644,-1.795,26.0443,46.5781,30.7428,31.857,3.5477,1.1358,0.2892,0.269,1.0,16.2273
AAPL,Q3 2024,-5.483,4.8657,20.4545,15.2174,6.2664,25.0044,46.2572,29.5557,32.1521,3.9711,1.0496,0.2139,0.2587,0.0,-11.761
AAPL,Q4 2024,10.6707,6.0694,48.4277,14.0097,6.7882,15.523,46.2225,31.1714,25.8753,5.4088,0.9245,0.1809,0.2601,0.0,-58.8432
ABBV,Q1 2021,-6.1192,50.9456,-5.8219,28.5047,40.8408,27.3098,67.6172,31.5373,25.872,9.9591,0.8316,0.3053,0.0864,0.0,-23.3397
ABBV,Q2 2021,7.2944,33.8993,12.3636,30.9322,7.6122,5.4875,67.598,31.8146,6.0823,10.7494,0.9064,0.2979,0.0943,0.0,-86.5435
ABBV,Q3 2021,2.7437,11.1611,4.5307,17.4545,-41.0031,22.1657,69.3906,30.0237,23.4146,9.964,1.0149,0.4269,0.0963,0.0,-48.6829
ABBV,Q4 2021,3.7931,7.4181,4.0248,15.0685,-51.7961,27.1665,70.9794,41.6364,26.1985,8.4927,0.7935,0.2769,0.1016,1.0,116.2075
ABBV,Q1 2022,-9.0555,4.0584,-6.25,14.5455,-46.8872,33.1659,70.0694,35.9137,27.5224,7.7784,0.8151,0.1875,0.0945,1.0,126.7054
ABBV,Q2 2022,7.719,4.4702,10.7937,12.945,-29.429,6.3361,71.4051,24.4394,6.2908,8.7485,0.8441,0.2472,0.1018,0.0,-57.1721
ABBV,Q3 2022,1.5703,3.2771,4.8711,13.3127,-7.884,26.6608,66.0951,31.3462,24.6397,7.8179,0.9282,0.3617,0.1048,1.0,70.2137
ABBV,Q4 2022,2.0861,1.5787,4.0984,13.3929,-5.8394,16.3547,72.4225,37.9935,14.3055,7.0294,0.9636,0.3115,0.1089,1.0,51.7826
ABBV,Q1 2023,-19.1522,-9.6986,-21.2598,-4.7619,-13.757,1.955,67.3947,23.8691,1.7966,9.1138,0.9601,0.2432,0.0909,0.0,-83.2716
ABBV,Q2 2023,13.4151,-4.9235,-4.6667,-18.0516,-9.3938,14.5979,69.4194,34.5691,15.6924,9.4952,0.8949,0.2717,0.1024,1.0,26.6667
ABBV,Q3 2023,0.4472,-5.9749,-1.049,-22.6776,-9.252,12.7666,53.4358,16.8522,14.6591,10.231,0.9555,0.3821,0.1022,0.0,-10.0625
ABBV,Q4 2023,2.6854,-5.4229,0.0,-25.7218,-7.0016,5.7478,60.1147,24.313,7.9061,11.9567,0.8721,0.3386,0.1062,0.0,-81.0935
ABBV,Q1 2024,-13.9221,0.6953,-13.4276,-18.3333,10.3939,11.121,66.7425,24.0617,17.0126,17.5006,0.9362,0.4351,0.0827,0.0,-79.7408
ABBV,Q2 2024,17.4817,4.3058,13.8776,-2.4476,9.2293,9.4731,70.9445,34.1239,20.085,19.8088,0.8068,0.3133,0.1019,0.0,-84.25
ABBV,Q3 2024,-0.0138,3.8271,4.3011,2.8269,9.802,10.7953,70.8714,27.0609,25.7124,22.6241,0.6452,0.1685,0.1008,0.0,-85.2688
ABBV,Q4 2024,4.4398,5.601,2.7491,5.6537,11.0239,-0.1457,70.8913,0.5562,-0.654,39.1787,0.6602,0.1426,0.1117,0.0,-101.7222
ABT,Q1 2021,-2.2895,35.3352,-1.4706,88.7324,32.8004,17.148,57.9093,20.1702,5.3066,1.1542,1.7507,0.6463,0.1437,0.0,-84.3064
ABT,Q2 2021,-2.2284,39.506,-8.209,192.8571,47.6649,11.6306,51.6091,13.6164,3.4941,1.1531,1.7938,0.6864,0.1395,0.0,-89.2756
ABT,Q3 2021,6.8962,23.4384,-25.2033,13.5802,13.8173,19.2167,59.526,23.298,6.0627,1.1305,1.8258,0.7229,0.1481,0.0,-81.9788
ABT,Q4 2021,4.9414,7.1676,26.087,-14.7059,-21.5431,17.3439,58.4409,20.736,5.5213,1.0874,1.8496,0.7477,0.1525,0.0,-84.9826
ABT,Q1 2022,3.7234,13.7624,23.2759,6.7164,-21.5728,20.5717,58.0748,24.4809,6.868,1.0772,1.8525,0.6069,0.1607,0.0,-81.5968
ABT,Q2 2022,-5.3636,10.1144,-22.3776,-9.7561,-29.3916,17.9266,56.1784,21.1069,5.4962,1.021,2.0139,0.7212,0.1517,0.0,-85.5214
ABT,Q3 2022,-7.5242,-4.7401,-18.9189,-2.1739,-28.1785,13.7848,55.5331,17.0029,3.999,1.0288,1.859,0.7178,0.143,0.0,-90.6354
ABT,Q4 2022,-3.0644,-12.0073,0.0,-22.4138,-19.1749,10.2368,54.4842,12.9224,2.7991,1.017,1.6285,0.638,0.1356,0.0,-94.4004
ABT,Q1 2023,-3.409,-18.058,8.8889,-31.4685,-31.8204,13.5221,55.5658,15.4817,3.54,0.982,1.6777,0.6305,0.1321,0.0,-92.5133
ABT,Q2 2023,2.37,-11.3618,7.1429,-5.4054,-21.4763,13.7803,55.0712,15.454,3.6761,0.9611,1.638,0.546,0.136,0.0,-91.8652
ABT,Q3 2023,1.6536,-2.5648,4.7619,22.2222,2.1753,14.1575,54.5992,16.2378,3.8096,0.9125,1.7378,0.5144,0.1407,0.0,-91.8393
ABT,Q4 2023,0.9662,1.4865,8.1818,32.2222,13.4938,15.5649,55.5122,17.3811,4.1054,0.8856,1.6379,0.4982,0.1399,0.0,-91.7015
ABT,Q1 2024,-2.7048,2.2263,-18.4874,-1.0204,20.2843,12.2943,55.2088,13.9101,3.1376,0.8561,1.5959,0.4482,0.1375,0.0,-93.5951
ABT,Q2 2024,4.1449,3.9988,13.4021,4.7619,15.3606,12.547,55.6423,16.0836,3.2912,0.8457,1.6802,0.5078,0.1421,0.0,-93.1342
ABT,Q3 2024,2.4863,4.8506,9.0909,9.0909,7.4155,15.4772,55.8251,17.48,4.1121,0.8576,1.5972,0.5072,0.143,0.0,-92.0546
ABT,Q4 2024,3.1876,7.1575,11.6667,12.605,5.671,84.0988,54.9663,17.4139,19.2668,0.6996,1.671,0.538,0.1348,1.0,287.7591
ADBE,Q1 2021,14.0479,26.3345,-0.3802,16.4444,7.4931,32.2919,88.5531,37.2343,9.309,0.8445,1.2718,0.5946,0.1563,1.0,251.0133
ADBE,Q2 2021,-1.7926,22.6023,6.1069,18.8034,8.6198,29.1004,88.4224,36.6623,8.0566,0.8468,1.3146,0.6916,0.1499,1.0,164.7614
ADBE,Q3 2021,2.6076,22.0155,4.3165,19.8347,8.2188,30.8005,88.1321,36.6201,8.4085,0.8138,1.3922,0.7467,0.1505,1.0,188.7386
ADBE,Q4 2021,4.4473,20.035,6.2069,17.1103,5.5965,30.0,87.6642,36.5207,8.3328,0.841,1.2506,0.5545,0.1509,1.0,211.4337
ADBE,Q1 2022,3.6983,9.1421,7.7922,26.7176,-17.1924,29.7044,87.9869,37.0718,9.1906,0.8857,1.0388,0.3806,0.1641,1.0,261.6892
ADBE,Q2 2022,2.9094,14.3677,-0.6024,18.705,-8.2346,26.8582,87.7109,34.8609,8.4233,0.8824,1.0708,0.4557,0.1666,1.0,156.7526
ADBE,Q3 2022,1.0716,12.6557,1.5152,15.5172,-9.3598,25.626,87.6833,33.4762,7.9037,0.8607,1.1413,0.5203,0.1658,1.0,137.4706
ADBE,Q4 2022,2.0753,10.0973,2.6866,11.6883,-9.9377,25.989,87.4475,33.2597,8.3695,0.9333,1.0987,0.5173,0.1666,1.0,98.5794
ADBE,Q1 2023,2.8729,9.221,4.9419,8.7349,0.0789,26.7884,87.7981,34.0709,8.778,0.8772,1.1217,0.5475,0.1746,1.0,101.2444
ADBE,Q2 2023,3.4586,9.8039,4.1551,13.9394,-4.5637,26.8895,88.1229,33.7209,8.7276,0.8761,1.1565,0.6804,0.173,1.0,111.0075
ADBE,Q3 2023,1.5365,10.309,2.9255,15.5224,-2.3466,28.6912,88.1391,34.7035,8.8933,0.8439,1.2491,0.7921,0.1681,1.0,77.8497
ADBE,Q4 2023,3.2311,11.558,1.5504,14.2442,1.4607,29.378,87.4406,34.5285,8.9781,0.8028,1.2588,0.811,0.1695,1.0,74.2941
