act_symbol,period_end_date,reported,estimate
A,2016-10-31,0.59,0.52
A,2017-01-31,0.53,0.49
A,2017-04-30,0.58,0.48
A,2017-07-31,0.59,0.52
A,2017-10-31,0.67,0.63
A,2018-01-31,0.66,0.58
A,2018-04-30,0.65,0.65
A,2018-07-31,0.67,0.63
A,2018-10-31,0.81,0.73
A,2019-01-31,0.76,0.73
A,2019-04-30,0.71,0.72
A,2019-07-31,0.76,0.72
A,2019-10-31,0.89,0.86
A,2020-01-31,0.81,0.81
A,2020-04-30,0.71,0.58
A,2020-07-31,0.78,0.66
A,2020-10-31,0.98,0.91
A,2021-01-31,1.06,0.89
A,2021-04-30,0.97,0.82
A,2021-07-31,1.10,0.99
A,2021-10-31,1.21,1.17
A,2022-01-31,1.21,1.17
A,2022-04-30,1.13,1.11
A,2022-07-31,1.34,1.20
A,2022-10-31,1.53,1.39
A,2023-01-31,1.37,1.31
A,2023-04-30,1.27,1.27
A,2023-07-31,1.43,1.37
A,2023-10-31,1.38,1.34
A,2024-01-31,1.29,1.21
A,2024-04-30,1.22,1.19
A,2024-07-31,1.32,1.25
A,2024-10-31,1.46,1.41
A,2025-01-31,1.31,1.27
A,2025-04-30,1.31,1.26
A,2025-07-31,1.37,1.36
A,2025-10-31,1.59,1.59
AA,2016-12-31,0.14,0.22
AA,2017-03-31,0.63,0.55
AA,2017-06-30,0.62,0.60
AA,2017-09-30,0.72,0.75
AA,2017-12-31,1.04,1.23
AA,2018-03-31,0.77,0.60
AA,2018-06-30,1.52,1.33
AA,2018-09-30,0.63,0.25
AA,2018-12-31,0.66,0.32
AA,2019-03-31,-0.23,-0.17
AA,2019-06-30,-0.01,-0.34
AA,2019-09-30,-0.44,-0.35
AA,2019-12-31,-0.31,-0.22
AA,2020-03-31,-0.23,-0.29
AA,2020-06-30,-0.02,-0.06
AA,2020-09-30,-1.17,-1.51
AA,2020-12-31,0.26,0.15
AA,2021-03-31,0.79,0.48
AA,2021-06-30,1.49,1.35
AA,2021-09-30,2.05,1.85
AA,2021-12-31,2.50,2.04
AA,2022-03-31,3.06,2.99
AA,2022-06-30,2.67,2.60
AA,2022-09-30,-0.33,0.09
AA,2022-12-31,-0.70,-0.85
AA,2023-03-31,-0.23,-0.05
AA,2023-06-30,-0.35,-0.59
AA,2023-09-30,-1.14,-1.13
AA,2023-12-31,-0.56,-0.99
AA,2024-03-31,-0.81,-0.62
AA,2024-06-30,0.16,0.11
AA,2024-09-30,0.57,0.23
AA,2024-12-31,1.04,0.93
AA,2025-03-31,2.15,1.73
AA,2025-06-30,0.39,0.29
AA,2025-09-30,-0.02,-0.15
AAAP,2016-09-30,-0.18,-0.09
AAAP,2016-12-31,-0.18,-0.20
AAAP,2017-03-31,-0.28,-0.19
AAAP,2017-06-30,-0.24,-0.13
AAAP,2017-09-30,-0.61,-0.18
AABA,2018-03-31,,
AABA,2018-06-30,,
AABA,2018-09-30,,
AABA,2018-12-31,,
AABA,2019-03-31,,
AAC,2016-09-30,0.19,0.24
AAC,2016-12-31,0.15,0.14
AAC,2017-03-31,0.12,0.04
AAC,2017-06-30,0.26,0.14
AAC,2017-09-30,0.12,0.05
AAC,2017-12-31,0.13,0.10
AAC,2018-03-31,0.13,0.10
AAC,2018-06-30,0.09,0.18
AAC,2018-09-30,-0.08,0.21
AAC,2018-12-31,-0.85,
AAC,2019-03-31,-0.79,-0.13
AAC,2019-06-30,-0.50,-0.10
AADI,2020-09-30,-1.80,-2.10
AADI,2020-12-31,-1.50,-1.95
AADI,2021-03-31,-0.90,-1.35
AADI,2021-06-30,-1.35,-6.00
AADI,2021-09-30,-1.37,-0.59
AADI,2021-12-31,-0.77,
AADI,2022-03-31,-0.66,-0.68
AADI,2022-06-30,-0.73,-0.72
AADI,2022-09-30,-0.68,-0.75
AADI,2022-12-31,-0.52,-0.65
AADI,2023-03-31,-0.57,-0.58
AADI,2023-06-30,-0.67,-0.64
AADI,2023-09-30,-0.60,-0.73
AADI,2023-12-31,-0.60,-0.67
AADI,2024-03-31,-0.68,-0.66
AADI,2024-06-30,-0.54,-0.71
AADI,2024-09-30,-0.46,-0.46
AAIC,2019-12-31,0.18,
AAIC,2020-03-31,0.17,
AAIC,2020-06-30,-0.01,
AAIC,2020-09-30,0.03,
AAIC,2020-12-31,0.12,
AAIC,2021-03-31,0.03,
AAIC,2021-06-30,0.07,
AAIC,2021-09-30,0.06,
AAIC,2021-12-31,0.02,
AAIC,2022-03-31,0.05,
AAIC,2022-06-30,0.05,
AAIC,2022-09-30,0.11,
AAIC,2022-12-31,0.09,
AAIC,2023-03-31,0.05,
AAIC,2023-06-30,0.06,
AAIC,2023-09-30,0.07,
AAL,2016-09-30,2.80,1.68
AAL,2016-12-31,0.92,0.92
AAL,2017-03-31,0.61,0.57
AAL,2017-06-30,1.92,1.87
AAL,2017-09-30,1.42,1.39
AAL,2017-12-31,0.95,0.92
AAL,2018-03-31,0.75,0.74
AAL,2018-06-30,1.63,1.59
AAL,2018-09-30,1.13,1.12
AAL,2018-12-31,1.04,1.02
AAL,2019-03-31,0.52,0.51
AAL,2019-06-30,1.82,1.77
AAL,2019-09-30,1.42,1.38
AAL,2019-12-31,1.15,1.15
AAL,2020-03-31,-2.65,-2.16
AAL,2020-06-30,-7.82,-6.75
AAL,2020-09-30,-5.54,-5.62
AAL,2020-12-31,-3.86,-3.92
AAL,2021-03-31,-4.32,-4.35
AAL,2021-06-30,-1.69,-1.80
AAL,2021-09-30,-0.99,-1.04
AAL,2021-12-31,-1.42,-1.51
AAL,2022-03-31,-2.32,-2.43
